"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Lakhs)","FFM CAP 
 (₹ Lakhs)","NM 52W H 
","NM 52W L 
"
"BTML","11.33","12.81","1.48","13.06","12.81","3,39,633","43.51","-","22.19","9.40"
"ASMS","22.12","23.76","1.64","7.41","23.76","3,39,240","80.60","-","28.75","15.67"
"GANGESSECU","194.09","207.00","12.91","6.65","207.00","1","-","-","230.08","111.10"
"AVANTEL","149.31","158.49","9.18","6.15","158.49","11,307","17.92","-","211.40","139.59"
"ITI","544.35","575.15","30.80","5.66","575.15","2,19,472","1,262.29","-","548.50","210.00"
"DYNAMIC","356.20","374.00","17.80","5.00","374.00","4,000","14.96","-","377.40","93.05"
"ICDSLTD","61.41","64.48","3.07","5.00","64.48","4","-","-","76.00","32.50"
"ATLASCYCLE","88.60","93.03","4.43","5.00","93.03","320","0.30","-","88.60","63.00"
"AARTECH","95.60","100.38","4.78","5.00","100.38","6,339","6.36","-","95.60","43.93"
"INDOTHAI","1,437.60","1,509.45","71.85","5.00","1,509.45","724","10.93","-","1,503.95","229.95"
"PRIZOR","203.60","213.75","10.15","4.99","213.75","19,200","41.04","-","229.45","115.00"
"ENSER","175.50","184.25","8.75","4.99","184.25","8,000","14.74","-","175.50","31.00"
"VISASTEEL","41.27","43.33","2.06","4.99","43.33","50","0.02","-","41.27","15.55"
"CCCL","16.68","17.51","0.83","4.98","17.51","58,449","10.23","-","28.68","10.90"
"PRAXIS","20.79","21.82","1.03","4.95","21.82","18,400","4.01","-","38.00","11.15"
"IITL","324.00","340.00","16.00","4.94","340.00","5","0.02","-","444.95","135.55"
"SAGARDEEP","28.02","29.39","1.37","4.89","29.39","25","0.01","-","40.45","22.15"
"PKTEA","699.95","734.00","34.05","4.86","734.00","3","0.02","-","793.85","280.25"
"FSC","2.27","2.38","0.11","4.85","2.38","33,452","0.80","-","14.00","1.73"
"RVHL","70.05","73.40","3.35","4.78","73.40","22","0.02","-","81.90","38.00"
"AUSOMENT","98.73","103.45","4.72","4.78","103.45","15","0.02","-","186.35","69.25"
"IL&FSTRANS","5.24","5.49","0.25","4.77","5.49","1,000","0.05","-","8.62","3.80"
"ISFT","141.36","148.00","6.64","4.70","148.00","14","0.02","-","191.75","107.50"
"AVONMORE","24.84","26.00","1.16","4.67","26.00","1,30,553","33.94","-","25.75","7.79"
"DHUNINV","1,892.65","1,979.35","86.70","4.58","1,979.35","1","0.02","-","2,668.50","1,007.10"
"TREJHARA","252.58","263.99","11.41","4.52","263.99","2","0.01","-","303.99","139.25"
"HINDNATGLS","23.37","24.40","1.03","4.41","24.40","1,065","0.26","-","31.03","15.85"
"KALYANKJIL","744.55","777.05","32.50","4.37","777.05","69,631","541.07","-","795.40","321.95"
"ASHOKA","277.95","290.00","12.05","4.34","290.00","83,630","242.53","-","319.00","140.30"
"ASTRON","21.27","22.17","0.90","4.23","22.17","502","0.11","-","40.90","16.73"
"VIVIANA","1,036.10","1,079.85","43.75","4.22","1,079.85","500","5.40","-","1,195.00","249.00"
"AKSHAR","0.72","0.75","0.03","4.17","0.75","24,065","0.18","-","2.89","0.67"
"URAVI","396.35","412.80","16.45","4.15","412.80","2","0.01","-","666.00","253.90"
"USK","55.17","57.45","2.28","4.13","57.45","13,003","7.47","-","88.50","42.00"
"PLASTIBLEN","235.38","244.99","9.61","4.08","244.99","50","0.12","-","398.45","227.15"
"DGCONTENT","65.44","67.99","2.55","3.90","67.99","1,038","0.71","-","65.73","18.30"
"TECHNOE","1,540.60","1,600.00","59.40","3.86","1,600.00","1,756","28.10","-","1,822.00","607.20"
"ZODIACLOTH","126.17","131.00","4.83","3.83","131.00","12","0.02","-","177.36","101.05"
"BURNPUR","6.65","6.90","0.25","3.76","6.90","565","0.04","-","12.97","5.35"
"ASAHISONG","355.90","369.00","13.10","3.68","369.00","2","0.01","-","588.95","297.40"
"KANPRPLA","123.00","127.50","4.50","3.66","127.50","13","0.02","-","149.50","87.90"
"KOHINOOR","41.26","42.75","1.49","3.61","42.75","21,819","9.33","-","55.30","35.10"
"INNOVANA","461.15","477.75","16.60","3.60","477.75","53","0.25","-","524.00","405.05"
"MANAKALUCO","30.35","31.43","1.08","3.56","31.43","992","0.31","-","46.00","22.65"
"INDIAGLYCO","1,252.30","1,296.80","44.50","3.55","1,296.80","520","6.74","-","1,548.95","678.55"
"VALIANTLAB","109.11","112.95","3.84","3.52","112.95","127","0.14","-","214.95","100.20"
"DIGJAMLMTD","62.22","64.40","2.18","3.50","64.40","24","0.02","-","103.95","61.65"
"AHLEAST","166.20","172.00","5.80","3.49","172.00","10","0.02","-","196.90","124.81"
"ABINFRA","91.72","94.90","3.18","3.47","94.90","1","-","-","106.47","86.50"
"CAPLIPOINT","2,508.25","2,594.95","86.70","3.46","2,594.95","2,185","56.70","-","2,641.00","1,225.00"
"CMMIPL","2.90","3.00","0.10","3.45","3.00","6,000","0.18","-","5.00","1.60"
"JHS","20.65","21.35","0.70","3.39","21.35","511","0.11","-","39.50","15.55"
"SUKHJITS","256.05","264.55","8.50","3.32","264.55","15","0.04","-","323.00","200.53"
"SPLIL","60.59","62.60","2.01","3.32","62.60","25","0.02","-","80.65","52.30"
"HOVS","76.47","79.00","2.53","3.31","79.00","8","0.01","-","110.50","50.35"
"EMBDL","119.65","123.60","3.95","3.30","123.60","72,268","89.32","-","164.36","88.60"
"COUNCODOS","6.43","6.64","0.21","3.27","6.64","7","-","-","8.83","4.60"
"PODDARMENT","356.30","367.90","11.60","3.26","367.90","1","-","-","476.15","320.40"
"AROGRANITE","47.70","49.25","1.55","3.25","49.25","13","0.01","-","69.30","41.10"
"KARMAENG","70.60","72.89","2.29","3.24","72.89","604","0.44","-","105.10","54.00"
"ORIENTCER","47.83","49.38","1.55","3.24","49.38","32","0.02","-","72.35","38.75"
"NESCO","993.10","1,024.95","31.85","3.21","1,024.95","2,672","27.39","-","1,081.90","748.60"
"MFML","48.46","50.00","1.54","3.18","50.00","41","0.02","-","118.20","46.97"
"ZOTA","853.70","880.00","26.30","3.08","880.00","2,275","20.02","-","874.00","440.10"
"DONEAR","153.34","157.99","4.65","3.03","157.99","3,546","5.60","-","184.99","88.05"
"PROZONER","36.21","37.30","1.09","3.01","37.30","20,124","7.51","-","44.80","20.91"
"KRITI","155.86","160.50","4.64","2.98","160.50","10","0.02","-","270.00","90.20"
"SHIVATEX","224.20","230.85","6.65","2.97","230.85","7","0.02","-","299.00","135.00"
"VSTL","209.76","215.99","6.23","2.97","215.99","102","0.22","-","446.25","203.55"
"RBZJEWEL","228.29","235.01","6.72","2.94","235.01","9,960","23.41","-","255.35","118.15"
"COMSYN","78.70","80.99","2.29","2.91","80.99","20","0.02","-","111.80","52.98"
"ARVINDFASN","504.00","518.50","14.50","2.88","518.50","2,393","12.41","-","639.70","384.60"
"AVPINFRA","251.75","258.95","7.20","2.86","258.95","2,400","6.21","-","251.75","63.00"
"EPACK","611.80","629.00","17.20","2.81","629.00","10,783","67.83","-","652.80","150.60"
"JOCIL","197.35","202.90","5.55","2.81","202.90","5","0.01","-","263.45","162.65"
"HMT","65.67","67.50","1.83","2.79","67.50","12","0.01","-","105.00","41.05"
"FILATFASH","0.72","0.74","0.02","2.78","0.74","3,77,632","2.79","-","2.86","0.66"
"BEARDSELL","38.44","39.50","1.06","2.76","39.50","1,780","0.70","-","58.90","31.53"
"CHEVIOT","1,264.40","1,298.80","34.40","2.72","1,298.80","27","0.35","-","1,653.40","1,201.00"
"BALKRISHNA","23.65","24.29","0.64","2.71","24.29","1","-","-","39.31","20.35"
"NGIL","41.39","42.51","1.12","2.71","42.51","1","-","-","59.32","33.31"
"ONELIFECAP","15.58","16.00","0.42","2.70","16.00","60","0.01","-","33.25","13.00"
"ATAM","130.99","134.50","3.51","2.68","134.50","15","0.02","-","228.99","124.00"
"WEIZMANIND","133.48","136.99","3.51","2.63","136.99","12","0.02","-","161.99","85.50"
"DANISH","1,121.65","1,151.00","29.35","2.62","1,151.00","300","3.45","-","1,316.00","541.50"
"EMAMIPAP","107.19","110.00","2.81","2.62","110.00","150","0.17","-","151.90","97.25"
"ROSSELLIND","77.76","79.79","2.03","2.61","79.79","25","0.02","-","664.40","70.98"
"KANANIIND","2.68","2.75","0.07","2.61","2.75","450","0.01","-","7.55","2.50"
"GLOBAL","73.83","75.75","1.92","2.60","75.75","74","0.06","-","153.08","65.53"
"CYBERMEDIA","24.36","24.99","0.63","2.59","24.99","200","0.05","-","44.00","20.60"
"BSHSL","145.87","149.60","3.73","2.56","149.60","25","0.04","-","284.90","128.70"
"ALPHAGEO","422.30","433.00","10.70","2.53","433.00","58","0.25","-","522.80","277.10"
"WINSOL","296.50","304.00","7.50","2.53","304.00","4,000","12.16","-","592.00","251.00"
"MANORAMA","998.80","1,024.00","25.20","2.52","1,024.00","186","1.90","-","1,256.00","301.55"
"SVPGLOB","5.16","5.29","0.13","2.52","5.29","2,800","0.15","-","10.05","4.83"
"SEMAC","371.85","381.15","9.30","2.50","381.15","1","-","-","3,484.90","366.60"
"RELIABLE","73.59","75.43","1.84","2.50","75.43","2","-","-","113.05","53.65"
"APCL","159.35","163.30","3.95","2.48","163.30","1","-","-","231.95","150.50"
